"label","selec","start","end","path","file","threshold","ribbit"
"P",3,2229.25,2942.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210622_184202.wav","hmm",0.0980207428360419
"P",3,903.25,1909.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210623_054300.wav","hmm",0.116324343070226
"P",7,3316.25,3599.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210623_054300.wav","hmm",0.264523527966552
"P",1,0.25,541.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210623_064302.wav","hmm",0.315853192457662
"P",20,2628.25,2940.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210623_074302.wav","hmm",0.34166623844124
"P",6,698.25,959.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210623_084302.wav","hmm",0.136173341687737
"P",16,2212.75,2452.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210623_084302.wav","hmm",0.103075322673692
"P",11,2080.75,2426.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210623_094302.wav","hmm",0.111526984370227
"P",13,2764.25,2946.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210623_094302.wav","hmm",0.0611526672196579
"P",3,387.75,774.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210623_104304.wav","hmm",0.242706901914585
"P",10,1201.25,1503.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210623_114302.wav","hmm",0.121337443583301
"P",3,295.75,479.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210623_124302.wav","hmm",0.143557863864917
"P",13,2204.25,2473.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210623_124302.wav","hmm",0.158393005109298
"P",6,1150.75,1379.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210623_134302.wav","hmm",0.234422293638015
"P",7,1448.75,1760.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210623_134302.wav","hmm",0.358450092099238
"P",8,1791.75,2135.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210623_134302.wav","hmm",0.0760732059431776
"P",9,2424.25,2674.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210623_134302.wav","hmm",0.0771514696449022
"P",1,1298.25,2066.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210623_144303.wav","hmm",0.192864061609571
"P",8,2784.75,3597.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210623_144303.wav","hmm",0.104005225740739
"P",3,163.75,677.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210623_154302.wav","hmm",0.24682770505017
"P",6,1452.75,1912.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210623_154302.wav","hmm",0.178227659129294
"P",10,2259.25,2613.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210623_154302.wav","hmm",0.128461056808418
"P",13,2990.75,3178.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210623_154302.wav","hmm",0.171677541024939
"P",4,443.75,987.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210623_164303.wav","hmm",0.130090534734118
"P",7,1211.25,1446.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210623_164303.wav","hmm",0.21757235827107
"P",16,2337.75,2635.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210623_164303.wav","hmm",0.145750363840688
"P",20,3195.25,3598.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210623_174302.wav","hmm",0.108752637197972
"P",1,0.25,2019.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210623_184302.wav","hmm",0.0894286415271129
"P",1,756.75,1897.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210624_054300.wav","hmm",0.0852482337226258
"P",4,2103.75,2324.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210624_054300.wav","hmm",0.137140041078324
"P",10,1702.25,1976.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210624_064302.wav","hmm",0.158264853559503
"P",11,2081.25,2400.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210624_064302.wav","hmm",0.067003329141129
"P",13,2565.75,3598.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210624_064302.wav","hmm",0.089577723665458
"P",26,2542.25,2760.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210624_074302.wav","hmm",0.152585212026448
"P",1,0.25,210.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210624_084302.wav","hmm",0.0928439717385187
"P",2,247.25,679.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210624_084302.wav","hmm",0.150925675082168
"P",4,428.25,608.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210624_094302.wav","hmm",0.15106213108259
"P",6,760.25,976.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210624_094302.wav","hmm",0.0766304215954111
"P",22,2913.25,3228.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210624_094302.wav","hmm",0.095864206292038
"P",6,1189.25,1506.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210624_104304.wav","hmm",0.199042103193537
"P",11,2083.75,2430.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210624_104304.wav","hmm",0.073395431473038
"P",6,1523.25,1719.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210624_124302.wav","hmm",0.157965897051474
"P",7,1798.75,1994.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210624_124302.wav","hmm",0.0813127162455922
"P",3,2272.75,3598.25,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210624_134302.wav","hmm",0.272856819877076
"P",9,976.75,2426.75,"I:/Autonomous_rec/2021.6/D/Gibbon006-1(D6)/src_data","S4A14546_20210624_144302.wav","hmm",0.150328402761079
