Chinese Name,Binomial Name
灰头鹀,Emberiza spodocephala
绿翅金鸠,Chalcophaps indica
白喉短翅鸫,Brachypteryx leucophris
方尾鹟,Culicicapa ceylonensis
小鳞胸鹪鹛,Pnoepyga pusilla
八声杜鹃,Cacomantis merulinus
黄眉柳莺,Phylloscopus inornatus
小鸦鹃,Centropus bengalensis
大杜鹃,Cuculus canorus
灰头绿啄木鸟,Picus canus
金腰燕,Cecropis daurica
普通翠鸟,Alcedo atthis
北灰鹟,Muscicapa dauurica
白眉姬鹟,Ficedula zanthopygia
灰鹡鸰,Motacilla cinerea
夜鹭,Nycticorax nycticorax
黑翅鸢,Elanus caeruleus
铜蓝鹟,Eumyias thalassinus
