Species,Latin Name,Diet
黑头金翅雀,Chloris ambigua,杂食性
白腰朱顶雀,Acanthis flammea,杂食性
极北朱顶雀,Acanthis hornemanni,杂食性
黄雀,Spinus spinus,杂食性
藏黄雀,Spinus thibetanus,杂食性
红额金翅雀,Carduelis carduelis,杂食性
金翅雀,Chloris sinica,杂食性
黄嘴朱顶雀,Linaria flavirostris,杂食性
赤胸朱顶雀,Linaria cannabina,杂食性
金额丝雀,Serinus pusillus,杂食性
褐灰雀,Pyrrhula nipalensis,杂食性
红头灰雀,Pyrrhula erythrocephala,杂食性
灰头灰雀,Pyrrhula erythaca,杂食性
红腹灰雀,Pyrrhula pyrrhula,食种子
锡嘴雀,Coccothraustes coccothraustes,杂食性
黑尾蜡嘴雀,Eophona migratoria,杂食性
黑头蜡嘴雀,Eophona personata,杂食性
黄颈拟蜡嘴雀,Mycerobas affinis,杂食性
白点翅拟蜡嘴雀,Mycerobas melanozanthos,杂食性
白斑翅拟蜡嘴雀,Mycerobas carnipes,杂食性
金枕黑雀,Pyrrhoplectes epauletta,杂食性
红翅沙雀,Rhodopechys sanguineus,食种子
蒙古沙雀,Bucanetes mongolicus,食种子，食果实，食茎叶
长尾雀,Carpodacus sibiricus,食种子，食果实
血雀,Carpodacus sipahi,杂食性
褐头朱雀,Carpodacus sillemi,杂食性
巨嘴沙雀,Rhodospiza obsoleta,植食性
红眉金翅雀,Callacanthis burtoni,NA
中华朱雀,Carpodacus davidianus,NA
台湾酒红朱雀,Carpodacus formosanus,植食性
淡腹点翅朱雀,Carpodacus verreauxii,杂食性
白眉朱雀,Carpodacus dubius,植食性
铁爪鹀,Calcarius lapponicus,杂食性
雪鹀,Plectrophenax nivalis,食种子
凤头鹀,Melophus lathami,杂食性
蓝鹀,Emberiza siemsseni,杂食性
黄鹀,Emberiza citrinella,杂食性
白头鹀,Emberiza leucocephalos,杂食性
藏鹀,Emberiza koslowi,杂食性
淡灰眉岩鹀,Emberiza cia,杂食性
灰眉岩鹀,Emberiza godlewskii,杂食性
三道眉草鹀,Emberiza cioides,杂食性
栗斑腹鹀,Emberiza jankowskii,杂食性
灰颈鹀,Emberiza buchanani,杂食性
圃鹀,Emberiza hortulana,杂食性
红颈苇鹀,Emberiza yessoensis,杂食性
白眉鹀,Emberiza tristrami,杂食性
栗耳鹀,Emberiza fucata,杂食性
小鹀,Emberiza pusilla,杂食性
黄眉鹀,Emberiza chrysophrys,杂食性
田鹀,Emberiza rustica,杂食性
黄喉鹀,Emberiza elegans,杂食性
黄胸鹀,Emberiza aureola,杂食性
栗鹀,Emberiza rutila,杂食性
黑头鹀,Emberiza melanocephala,杂食性
褐头鹀,Emberiza bruniceps,杂食性
硫黄鹀,Emberiza sulphurata,杂食性
灰头鹀,Emberiza spodocephala,杂食性
灰鹀,Emberiza variabilis,食种子
苇鹀,Emberiza pallasi,杂食性
芦鹀,Emberiza schoeniclus,杂食性
黍鹀,Emberiza calandra,杂食性
白顶鹀,Emberiza stewarti,NA
白冠带鹀,Zonotrichia leucophrys,NA
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
